,original_ref,rxn_ref,retro_template,count
174,R28,R26,([C:1]-[O:2]-[CH2:3]-[c:4])>>([C:1]-[OH:2]).(Br-[CH2:3]-[c:4]),2471
175,R28,R26,([c:2]-[O:1]-[CH2:3]-[c:4])>>([OH:1]-[c:2]).(Cl-[CH2:3]-[c:4]),2450
176,R28,R26,([c:2]-[O:1]-[CH2:3]-[c:4])>>([OH:1]-[c:2]).(Br-[CH2:3]-[c:4]),1065
177,R28,R26,([C:4]-[CH2:3]-[O:1]-[c:2])>>([OH:1]-[c:2]).(I-[CH2:3]-[C:4]),587
178,R28,R26,([C:1]-[O:2]-[CH2:3]-[C:4])>>([C:1]-[OH:2]).(I-[CH2:3]-[C:4]),491
179,R28,R26,([C:1]-[O:2]-[CH2:3]-[c:4])>>([C:1]-[OH:2]).(I-[CH2:3]-[c:4]),56
180,R29,R27,([C:2]-[C:1](-[C:3])-[NH:5]-[C:4])>>(O=[C:1](-[C:2])-[C:3]).([C:4]-[NH2:5]),7326
181,R29,R27,([C:2]-[C:1](-[c:3])-[NH:5]-[C:4])>>(O=[C:1](-[C:2])-[c:3]).([C:4]-[NH2:5]),6509
182,R29,R27,([C:3]-[N:4](-[C:5])-[CH2:1]-[c:2])>>(O=[CH:1]-[c:2]).([C:3]-[NH:4]-[C:5]),6095
183,R29,R27,([C:2]-[C:1](-[C:3])-[N:5](-[C:4])-[C:6])>>(O=[C:1](-[C:2])-[C:3]).([C:4]-[NH:5]-[C:6]),5906
184,R29,R27,([C:2]-[C:1](-[c:3])-[N:5](-[C:4])-[C:6])>>(O=[C:1](-[C:2])-[c:3]).([C:4]-[NH:5]-[C:6]),4985
185,R29,R27,([C:3]-[NH:4]-[CH2:1]-[c:2])>>(O=[CH:1]-[c:2]).([C:3]-[NH2:4]),4895
186,R29,R27,([C:4]-[NH:5]-[C:1](-[c:2])-[c:3])>>(O=[C:1](-[c:2])-[c:3]).([C:4]-[NH2:5]),1804
187,R29,R27,([C:4]-[N:5](-[C:6])-[C:1](-[c:2])-[c:3])>>(O=[C:1](-[c:2])-[c:3]).([C:4]-[NH:5]-[C:6]),1476
188,R29,R27,([C:3]-[N:4](-[C:5])-[CH2:1]-[C:2])>>(O=[CH:1]-[C:2]).([C:3]-[NH:4]-[C:5]),733
189,R29,R27,([C:3]-[NH:4]-[CH2:1]-[C:2])>>(O=[CH:1]-[C:2]).([C:3]-[NH2:4]),604
190,R29,R27,([C:4]-[N:5](-[C:6])-[C:1]1-[C:2]-[C:3]-1)>>(O=[C:1]1-[C:2]-[C:3]-1).([C:4]-[NH:5]-[C:6]),85
191,R29,R27,([C:4]-[NH:5]-[C:1]1-[C:2]-[C:3]-1)>>(O=[C:1]1-[C:2]-[C:3]-1).([C:4]-[NH2:5]),80
192,R30,R28,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[c:3])-O-C-1(-C)-C).(Cl-[c:4](:[c:5]):[c:6]),14353
193,R30,R28,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[c:3])-O-C-1(-C)-C).(Br-[c:4](:[c:5]):[c:6]),7138
194,R30,R28,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(O-B(-O)-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[c:6]),7015
195,R30,R28,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(O-B(-O)-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[c:6]),3458
196,R30,R28,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[c:3])-O-C-1(-C)-C).(I-[c:4](:[c:5]):[c:6]),902
197,R30,R28,([C:2]-[C:1](=[C:3])-[c:4](:[c:5]):[c:6])>>(C-C1(-C)-O-B(-[C:1](-[C:2])=[C:3])-O-C-1(-C)-C).(Cl-[c:4](:[c:5]):[c:6]),581
198,R30,R28,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(O-B(-O)-[c:1](:[c:2]):[c:3]).(I-[c:4](:[c:5]):[c:6]),421
199,R30,R28,([C:2]-[C:1](=[C:3])-[c:4](:[c:5]):[c:6])>>(C-C1(-C)-O-B(-[C:1](-[C:2])=[C:3])-O-C-1(-C)-C).(Br-[c:4](:[c:5]):[c:6]),315
200,R30,R28,([C:2]=[C:1](-[C:3])-[c:4](:[c:5]):[c:6])>>(C-C1(-C)-O-B(-[C:1](=[C:2])-[C:3])-O-C-1(-C)-C).(Cl-[c:4](:[c:5]):[c:6]),257
201,R30,R28,([C:2]=[C:1](-[C:3])-[c:4](:[c:5]):[c:6])>>(C-C1(-C)-O-B(-[C:1](=[C:2])-[C:3])-O-C-1(-C)-C).(Br-[c:4](:[c:5]):[c:6]),135
202,R30,R28,([C:5]-[C:4](=[C:6])-[c:1](:[c:2]):[c:3])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[c:3])-O-C-1(-C)-C).(Cl-[C:4](-[C:5])=[C:6]),68
203,R30,R28,([C:2]-[C:1](=[C:3])-[c:4](:[c:5]):[c:6])>>(C-C1(-C)-O-B(-[C:1](-[C:2])=[C:3])-O-C-1(-C)-C).(I-[c:4](:[c:5]):[c:6]),51
204,R30,R28,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(C-N1-C-C(=O)-O-B(-[c:1](:[c:2]):[c:3])-O-C(=O)-C-1).(Cl-[c:4](:[c:5]):[c:6]),46
205,R30,R28,([C:5]-[C:4](=[C:6])-[c:1](:[c:2]):[c:3])>>(O-B(-O)-[c:1](:[c:2]):[c:3]).(Cl-[C:4](-[C:5])=[C:6]),46
206,R31,R29,([CH:3]=[C:2]-[c:1])>>([cH:1]).(O=[C:2]-[CH2:3]),11738
207,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[c:6]),11063
208,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Cl-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[c:6]),7213
209,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[c:6]),6299
210,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[c:6]),3761
211,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[n:6]),2365
212,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[CH2:4]-[C:5]),2075
213,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[c:5])>>(Cl-[CH2:1]-[C:2]).(Cl-[c:3](:[c:4]):[c:5]),2070
214,R32,R30,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(Cl-[c:1](:[c:2]):[n:3]).(Cl-[c:4](:[c:5]):[c:6]),1717
215,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[c:5])>>(Br-[CH2:1]-[C:2]).(Cl-[c:3](:[c:4]):[c:5]),1385
216,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Br-[CH2:4]-[C:5]),1342
217,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[c:5])>>(Cl-[CH2:1]-[C:2]).(Br-[c:3](:[c:4]):[c:5]),1236
218,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[CH2:4]-[C:5]),1182
219,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[n:6]),1145
220,R32,R30,([c:2]:[c:1](:[c:3])-[CH2:4]-[c:5])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[CH2:4]-[c:5]),1014
221,R32,R30,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(Cl-[c:1](:[c:2]):[n:3]).(Br-[c:4](:[c:5]):[c:6]),918
222,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Cl-[c:1](:[c:2]):[c:3]).(I-[c:4](:[c:5]):[c:6]),859
223,R32,R30,([c:4]:[c:3](:[c:5])-[CH2:1]-[c:2])>>(Cl-[CH2:1]-[c:2]).(Cl-[c:3](:[c:4]):[c:5]),856
224,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[c:5])>>(Br-[CH2:1]-[C:2]).(Br-[c:3](:[c:4]):[c:5]),788
225,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[CH2:4]-[C:5]),772
226,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(Cl-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[n:6]),735
227,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(I-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[c:6]),718
228,R32,R30,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).(Cl-[c:4](:[c:5]):[c:6]),687
229,R32,R30,([C:5]-[CH:4](-[C:6])-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Br-[CH:4](-[C:5])-[C:6]),643
230,R32,R30,([C:2]-[CH:1](-[C:3])-[c:4](:[c:5]):[c:6])>>(Br-[CH:1](-[C:2])-[C:3]).(Cl-[c:4](:[c:5]):[c:6]),635
231,R32,R30,([C:2]-[CH:1](-[C:3])-[c:4](:[c:5]):[c:6])>>(Cl-[CH:1](-[C:2])-[C:3]).(Cl-[c:4](:[c:5]):[c:6]),510
232,R32,R30,([c:2]:[c:1](:[c:3])-[CH2:4]-[c:5])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[CH2:4]-[c:5]),504
233,R32,R30,([C:5]-[CH:4](-[C:6])-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[CH:4](-[C:5])-[C:6]),495
234,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Br-[c:1](:[c:2]):[c:3]).(I-[c:4](:[c:5]):[c:6]),446
235,R32,R30,([c:4]:[c:3](:[c:5])-[CH2:1]-[c:2])>>(Cl-[CH2:1]-[c:2]).(Br-[c:3](:[c:4]):[c:5]),442
236,R32,R30,([c:2]:[c:1](:[c:3])-[CH2:4]-[c:5])>>(Cl-[c:1](:[c:2]):[c:3]).(Br-[CH2:4]-[c:5]),432
237,R32,R30,([C:2]-[CH:1](-[C:3])-[c:4](:[c:5]):[c:6])>>(Br-[CH:1](-[C:2])-[C:3]).(Br-[c:4](:[c:5]):[c:6]),377
238,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(I-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[c:6]),373
239,R32,R30,([C:5]-[CH:4](-[C:6])-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[CH:4](-[C:5])-[C:6]),373
240,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[n:3])>>(Cl-[c:1](:[c:2]):[n:3]).(Cl-[CH2:4]-[C:5]),369
241,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[n:5])>>(Cl-[CH2:1]-[C:2]).(Cl-[c:3](:[c:4]):[n:5]),368
242,R32,R30,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).(Br-[c:4](:[c:5]):[c:6]),350
243,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[n:6]),344
244,R32,R30,([c:4]:[c:3](:[c:5])-[CH2:1]-[c:2])>>(Br-[CH2:1]-[c:2]).(Cl-[c:3](:[c:4]):[c:5]),335
245,R32,R30,([C:5]-[CH:4](-[C:6])-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[CH:4](-[C:5])-[C:6]),317
246,R32,R30,([C:2]-[CH:1](-[C:3])-[c:4](:[c:5]):[c:6])>>(Cl-[CH:1](-[C:2])-[C:3]).(Br-[c:4](:[c:5]):[c:6]),311
247,R32,R30,([C:5]-[C:4](-[C:6])(-[C:7])-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Br-[C:4](-[C:5])(-[C:6])-[C:7]),279
248,R32,R30,([c:5]:[c:4](:[n:6])-[c:1](:[c:2]):[n:3])>>(Cl-[c:1](:[c:2]):[n:3]).(Cl-[c:4](:[c:5]):[n:6]),277
249,R32,R30,([C:2]-[C:1](-[C:3])(-[C:4])-[c:5](:[c:6]):[c:7])>>(Br-[C:1](-[C:2])(-[C:3])-[C:4]).(Cl-[c:5](:[c:6]):[c:7]),273
250,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[n:5])>>(Br-[CH2:1]-[C:2]).(Cl-[c:3](:[c:4]):[n:5]),248
251,R32,R30,([C:5]-[CH:4](-[c:6])-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[CH:4](-[C:5])-[c:6]),243
252,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[s:6])>>(Cl-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[s:6]),237
253,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[n:3])>>(Cl-[c:1](:[c:2]):[n:3]).(Br-[CH2:4]-[C:5]),220
254,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(I-[CH2:4]-[C:5]),219
255,R32,R30,([C:2]-[CH:1](-[c:3])-[c:4](:[c:5]):[c:6])>>(Cl-[CH:1](-[C:2])-[c:3]).(Cl-[c:4](:[c:5]):[c:6]),213
256,R32,R30,([C:5]-[C:4](-[C:6])(-[C:7])-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[C:4](-[C:5])(-[C:6])-[C:7]),213
257,R32,R30,([C:5]-[CH:4](-[c:6])-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Br-[CH:4](-[C:5])-[c:6]),208
258,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[s:6])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[s:6]),199
259,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[c:5])>>(I-[CH2:1]-[C:2]).(Cl-[c:3](:[c:4]):[c:5]),195
260,R32,R30,([C:2]-[CH:1](-[c:3])-[c:4](:[c:5]):[c:6])>>(Br-[CH:1](-[C:2])-[c:3]).(Cl-[c:4](:[c:5]):[c:6]),192
261,R32,R30,([C:2]-[C:1](-[C:3])(-[C:4])-[c:5](:[c:6]):[c:7])>>(Br-[C:1](-[C:2])(-[C:3])-[C:4]).(Br-[c:5](:[c:6]):[c:7]),188
262,R32,R30,([c:2]:[c:1](:[c:3])-[CH2:4]-[c:5])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[CH2:4]-[c:5]),185
263,R32,R30,([c:4]:[c:3](:[c:5])-[CH2:1]-[c:2])>>(Br-[CH2:1]-[c:2]).(Br-[c:3](:[c:4]):[c:5]),183
264,R32,R30,([C:5]-[CH:4](-[c:6])-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[CH:4](-[C:5])-[c:6]),169
265,R32,R30,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[s:3])>>(Br-[c:1](:[c:2]):[s:3]).(Cl-[c:4](:[c:5]):[c:6]),166
266,R32,R30,([C:5]-[C:4](-[C:6])(-[C:7])-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[C:4](-[C:5])(-[C:6])-[C:7]),166
267,R32,R30,([C:2]-[C:1](-[C:3])(-[C:4])-[c:5](:[c:6]):[c:7])>>(Cl-[C:1](-[C:2])(-[C:3])-[C:4]).(Cl-[c:5](:[c:6]):[c:7]),164
268,R32,R30,([C:2]-[CH:1](-[c:3])-[c:4](:[c:5]):[c:6])>>(Cl-[CH:1](-[C:2])-[c:3]).(Br-[c:4](:[c:5]):[c:6]),161
269,R32,R30,([C:4]-[CH2:3]-[CH2:1]-[c:2])>>(Cl-[CH2:1]-[c:2]).(Cl-[CH2:3]-[C:4]),151
270,R32,R30,([C:4]-[CH2:3]-[CH2:1]-[C:2])>>(Cl-[CH2:1]-[C:2]).(Cl-[CH2:3]-[C:4]),149
271,R32,R30,([C:2]-[CH2:1]-[CH2:3]-[c:4])>>(Cl-[CH2:1]-[C:2]).(Cl-[CH2:3]-[c:4]),148
272,R32,R30,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[s:3])>>(Cl-[c:1](:[c:2]):[s:3]).(Cl-[c:4](:[c:5]):[c:6]),148
273,R32,R30,([C:2]-[CH:1](-[c:3])-[c:4](:[c:5]):[c:6])>>(Br-[CH:1](-[C:2])-[c:3]).(Br-[c:4](:[c:5]):[c:6]),142
274,R32,R30,([C:2]-[C:1](-[C:3])(-[c:4])-[c:5](:[c:6]):[c:7])>>(Cl-[C:1](-[C:2])(-[C:3])-[c:4]).(Cl-[c:5](:[c:6]):[c:7]),141
275,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[c:5])>>(Cl-[CH2:1]-[C:2]).(I-[c:3](:[c:4]):[c:5]),139
276,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[s:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[s:6]),137
277,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[c:3])>>(I-[c:1](:[c:2]):[c:3]).(Cl-[CH2:4]-[C:5]),135
278,R32,R30,([C:5]-[C:4](-[C:6])(-[c:7])-[c:1](:[c:2]):[c:3])>>(Cl-[c:1](:[c:2]):[c:3]).(Cl-[C:4](-[C:5])(-[C:6])-[c:7]),135
279,R32,R30,([C:5]-[CH:4](-[c:6])-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[CH:4](-[C:5])-[c:6]),131
280,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(I-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[n:6]),127
281,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(Cl-[c:1](:[c:2]):[c:3]).(I-[c:4](:[c:5]):[n:6]),124
282,R32,R30,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(Cl-[c:1](:[c:2]):[n:3]).(I-[c:4](:[c:5]):[c:6]),124
283,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[c:5])>>(I-[CH2:1]-[C:2]).(Br-[c:3](:[c:4]):[c:5]),120
284,R32,R30,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(I-[c:1](:[c:2]):[n:3]).(Cl-[c:4](:[c:5]):[c:6]),118
285,R32,R30,([C:4]-[CH2:3]-[CH2:1]-[C:2])>>(Br-[CH2:1]-[C:2]).(Cl-[CH2:3]-[C:4]),118
286,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).(Cl-[CH2:4]-[C:5]),117
287,R32,R30,([C:2]-[CH:1](-[C:3])-[c:4](:[c:5]):[n:6])>>(Br-[CH:1](-[C:2])-[C:3]).(Cl-[c:4](:[c:5]):[n:6]),117
288,R32,R30,([C:5]-[C:4](-[C:6])(-[C:7])-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[C:4](-[C:5])(-[C:6])-[C:7]),117
289,R32,R30,([C:2]-[C:1](-[C:3])(-[c:4])-[c:5](:[c:6]):[c:7])>>(Br-[C:1](-[C:2])(-[C:3])-[c:4]).(Cl-[c:5](:[c:6]):[c:7]),116
290,R32,R30,([C:2]-[C:1](-[C:3])(-[C:4])-[c:5](:[c:6]):[c:7])>>(Cl-[C:1](-[C:2])(-[C:3])-[C:4]).(Br-[c:5](:[c:6]):[c:7]),114
291,R32,R30,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[s:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[s:6]),114
292,R32,R30,([c:4]:[c:3](:[n:5])-[CH2:1]-[c:2])>>(Cl-[CH2:1]-[c:2]).(Cl-[c:3](:[c:4]):[n:5]),114
293,R32,R30,([c:5]-[CH2:4]-[c:1](:[c:2]):[n:3])>>(Cl-[c:1](:[c:2]):[n:3]).(Cl-[CH2:4]-[c:5]),113
294,R32,R30,([C:5]-[CH:4](-[C:6])-[c:1](:[c:2]):[n:3])>>(Cl-[c:1](:[c:2]):[n:3]).(Br-[CH:4](-[C:5])-[C:6]),112
295,R32,R30,([C:2]-[CH2:1]-[c:3](:[c:4]):[n:5])>>(Cl-[CH2:1]-[C:2]).(Br-[c:3](:[c:4]):[n:5]),112
296,R32,R30,([C:4]-[CH2:3]-[CH2:1]-[c:2])>>(Cl-[CH2:1]-[c:2]).(Br-[CH2:3]-[C:4]),111
297,R32,R30,([C:5]-[CH2:4]-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(I-[CH2:4]-[C:5]),108
298,R32,R30,([C:5]-[C:4](-[C:6])(-[c:7])-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[C:4](-[C:5])(-[C:6])-[c:7]),108
299,R33,R31,([C:3]-[N:4](-[C:5])-[CH2:1]-[C:2])>>(O-[CH2:1]-[C:2]).([C:3]-[NH:4]-[C:5]),4217
300,R33,R31,([C:3]-[N:4](-[C:5])-[CH2:1]-[c:2])>>(O-[CH2:1]-[c:2]).([C:3]-[NH:4]-[C:5]),2682
301,R33,R31,([C:2]-[CH:1](-[C:3])-[N:5](-[C:4])-[C:6])>>(O-[CH:1](-[C:2])-[C:3]).([C:4]-[NH:5]-[C:6]),2539
302,R33,R31,([C:4]-[N:5](-[C:6])-[CH:1](-[C:2])-[c:3])>>(O-[CH:1](-[C:2])-[c:3]).([C:4]-[NH:5]-[C:6]),1415
303,R33,R31,([C:4]-[N:5](-[C:6])-[CH:1](-[c:2])-[c:3])>>(O-[CH:1](-[c:2])-[c:3]).([C:4]-[NH:5]-[C:6]),803
304,R34,R32,([C:2]-[CH2:1]-[O:3]-[c:4])>>(O-[CH2:1]-[C:2]).([OH:3]-[c:4]),8503
305,R34,R32,([C:2]-[CH:1](-[C:3])-[O:4]-[c:5])>>(O-[CH:1](-[C:2])-[C:3]).([OH:4]-[c:5]),6315
306,R34,R32,([C:2]-[CH:1](-[c:3])-[O:4]-[c:5])>>(O-[CH:1](-[C:2])-[c:3]).([OH:4]-[c:5]),3140
307,R34,R32,([c:4]-[O:3]-[CH2:1]-[c:2])>>(O-[CH2:1]-[c:2]).([OH:3]-[c:4]),2242
308,R34,R32,([c:2]-[CH:1](-[c:3])-[O:4]-[c:5])>>(O-[CH:1](-[c:2])-[c:3]).([OH:4]-[c:5]),623
309,R35,R33,([C:3]-[N:4](-[S:5])-[CH2:1]-[C:2])>>(O-[CH2:1]-[C:2]).([C:3]-[NH:4]-[S:5]),8146
310,R35,R33,([C:2]-[CH2:1]-[N:4](-[S:3])-[c:5])>>(O-[CH2:1]-[C:2]).([S:3]-[NH:4]-[c:5]),7145
311,R35,R33,([C:2]-[CH:1](-[C:3])-[N:5](-[S:4])-[c:6])>>(O-[CH:1](-[C:2])-[C:3]).([S:4]-[NH:5]-[c:6]),5148
312,R35,R33,([C:3]-[N:4](-[S:5])-[CH2:1]-[c:2])>>(O-[CH2:1]-[c:2]).([C:3]-[NH:4]-[S:5]),4446
313,R35,R33,([C:4]-[N:5](-[S:6])-[CH:1](-[C:2])-[C:3])>>(O-[CH:1](-[C:2])-[C:3]).([C:4]-[NH:5]-[S:6]),4042
314,R35,R33,([S:3]-[N:4](-[c:5])-[CH2:1]-[c:2])>>(O-[CH2:1]-[c:2]).([S:3]-[NH:4]-[c:5]),2748
315,R35,R33,([C:2]-[CH:1](-[c:3])-[N:5](-[S:4])-[c:6])>>(O-[CH:1](-[C:2])-[c:3]).([S:4]-[NH:5]-[c:6]),2585
316,R35,R33,([C:4]-[N:5](-[S:6])-[CH:1](-[C:2])-[c:3])>>(O-[CH:1](-[C:2])-[c:3]).([C:4]-[NH:5]-[S:6]),2360
317,R35,R33,([C:4]-[N:5](-[S:6])-[CH:1](-[c:2])-[c:3])>>(O-[CH:1](-[c:2])-[c:3]).([C:4]-[NH:5]-[S:6]),620
318,R35,R33,([S:4]-[N:5](-[c:6])-[CH:1](-[c:2])-[c:3])>>(O-[CH:1](-[c:2])-[c:3]).([S:4]-[NH:5]-[c:6]),390
319,R36,R34,([C:2]-[CH2:1]-[n:4](:[c:3]):[n:5])>>(O-[CH2:1]-[C:2]).([c:3]:[nH:4]:[n:5]),5872
320,R36,R34,([C:2]-[CH:1](-[C:3])-[n:5](:[c:4]):[n:6])>>(O-[CH:1](-[C:2])-[C:3]).([c:4]:[nH:5]:[n:6]),4573
321,R36,R34,([C:2]-[CH:1](-[c:3])-[n:5](:[c:4]):[n:6])>>(O-[CH:1](-[C:2])-[c:3]).([c:4]:[nH:5]:[n:6]),2372
322,R36,R34,([c:3]:[n:4](:[n:5])-[CH2:1]-[c:2])>>(O-[CH2:1]-[c:2]).([c:3]:[nH:4]:[n:5]),1514
323,R36,R34,([c:2]-[CH:1](-[c:3])-[n:5](:[c:4]):[n:6])>>(O-[CH:1](-[c:2])-[c:3]).([c:4]:[nH:5]:[n:6]),622
324,R39,R35,([C:2]-[CH2:1]-[n:4](:[n:3]):[n:5])>>(O-[CH2:1]-[C:2]).([n:3]:[nH:4]:[n:5]),9705
325,R39,R35,([C:2]-[CH:1](-[C:3])-[n:5](:[n:4]):[n:6])>>(O-[CH:1](-[C:2])-[C:3]).([n:4]:[nH:5]:[n:6]),7088
326,R39,R35,([c:2]-[CH2:1]-[n:4](:[n:3]):[n:5])>>(O-[CH2:1]-[c:2]).([n:3]:[nH:4]:[n:5]),3908
327,R39,R35,([C:2]-[CH:1](-[c:3])-[n:5](:[n:4]):[n:6])>>(O-[CH:1](-[C:2])-[c:3]).([n:4]:[nH:5]:[n:6]),3704
328,R39,R35,([c:2]-[CH:1](-[c:3])-[n:5](:[n:4]):[n:6])>>(O-[CH:1](-[c:2])-[c:3]).([n:4]:[nH:5]:[n:6]),843
329,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[c:5])>>([C:1]=[CH2:2]).(Cl-[c:3](:[c:4]):[c:5]),26225
